country,Dance,Urban areas,Paper,Masks,Agro-ecosystems
Peru,0.2692307692307692,0.11538461538461539,0.1346153846153846,0.17307692307692307,0.038461538461538464
Bolivia,0.11428571428571428,0.45714285714285713,0.0,0.22857142857142856,0.08571428571428572
Ecuador,0.25,0.0,0.375,0.0,0.125
Colombia,0.13725490196078433,0.23529411764705882,0.0784313725490196,0.1568627450980392,0.17647058823529413
Chile,0.3333333333333333,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111
Argentina,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0
Brazil,0.21428571428571427,0.19047619047619047,0.047619047619047616,0.16666666666666666,0.09523809523809523
Paraguay,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.0,0.2222222222222222
Uruguay,0.75,0.25,0.0,0.0,0.0
