country,Agriculture,Apprenticeship,Intolerance,Colonial history,Makeup
Peru,0.48514851485148514,0.06930693069306931,0.15841584158415842,0.07425742574257425,0.09900990099009901
Bolivia,0.4222222222222222,0.11851851851851852,0.1259259259259259,0.13333333333333333,0.1111111111111111
Ecuador,0.47619047619047616,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.047619047619047616
Colombia,0.36363636363636365,0.11983471074380166,0.17768595041322313,0.11570247933884298,0.09917355371900827
Chile,0.2857142857142857,0.34285714285714286,0.02857142857142857,0.11428571428571428,0.08571428571428572
Argentina,0.28125,0.3125,0.1875,0.15625,0.0625
Brazil,0.36507936507936506,0.12169312169312169,0.15343915343915343,0.1111111111111111,0.07407407407407407
Paraguay,0.5,0.25,0.1590909090909091,0.0,0.0
Uruguay,0.4166666666666667,0.25,0.16666666666666666,0.16666666666666666,0.0
