country,entropy_primary,entropy_secondary,entropy_mean
Uruguay,0.8112781244591328,1.8879185026711327,1.3495983135651328
Argentina,1.4591479170272448,2.1603743299806815,1.809761123503963
Ecuador,1.9056390622295665,2.167124282150162,2.036381672189864
Paraguay,2.377443751081734,1.827324167059251,2.1023839590704925
Bolivia,2.022000516883153,2.3532796276156773,2.1876400722494154
Chile,2.197159723424149,2.393608560891982,2.2953841421580656
Peru,2.8685509510832485,2.281610875003143,2.5750809130431955
Colombia,2.7145460492177476,2.5971513421664074,2.6558486956920775
Brazil,2.872500900831444,2.6738745244594893,2.7731877126454667
